,title,year,month,day,link,description,category
36,محمداسماعیل رضوانی,1375,1.0,5.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%B1%D8%B6%D9%88%D8%A7%D9%86%DB%8C,,Death
37,یدالله بهزاد,1386,1.0,5.0,https://fa.wikipedia.org/wiki/%DB%8C%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A8%D9%87%D8%B2%D8%A7%D8%AF,,Death
38,پروین‌دخت یزدانیان,1391,1.0,5.0,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DB%8C%D9%86%E2%80%8C%D8%AF%D8%AE%D8%AA_%DB%8C%D8%B2%D8%AF%D8%A7%D9%86%DB%8C%D8%A7%D9%86,,Death
39,محمدابراهیم باستانی پاریزی,1393,1.0,5.0,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%DB%8C_%D9%BE%D8%A7%D8%B1%DB%8C%D8%B2%DB%8C,,Death
40,نیما پتگر,1394,1.0,5.0,https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D9%85%D8%A7_%D9%BE%D8%AA%DA%AF%D8%B1,,Death
41,فرزانه تأییدی,1399,1.0,5.0,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%B2%D8%A7%D9%86%D9%87_%D8%AA%D8%A3%DB%8C%DB%8C%D8%AF%DB%8C,,Death
42,رضا براهنی,1401,1.0,5.0,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D8%A8%D8%B1%D8%A7%D9%87%D9%86%DB%8C,,Death
43,اسماعیل ادیب خوانساری,1361,1.0,6.0,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%A7%D8%AF%DB%8C%D8%A8_%D8%AE%D9%88%D8%A7%D9%86%D8%B3%D8%A7%D8%B1%DB%8C,,Death
44,منوچهر همایون‌پور,1385,1.0,6.0,https://fa.wikipedia.org/wiki/%D9%85%D9%86%D9%88%DA%86%D9%87%D8%B1_%D9%87%D9%85%D8%A7%DB%8C%D9%88%D9%86%E2%80%8C%D9%BE%D9%88%D8%B1,,Death
45,ماه‌سلطان ربانی,1389,1.0,6.0,https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D9%87%E2%80%8C%D8%B3%D9%84%D8%B7%D8%A7%D9%86_%D8%B1%D8%A8%D8%A7%D9%86%DB%8C,,Death
